Property Name,Tax Parcel,Property Type,Address,Gross Area (sq ft),Property Uses,Total Site Energy (kBTU),% Electricity,% Gas,% Steam,% Fuel Oil,% District Hot Water,% District Chilled Water,"% Other (Diesel #2, Kerosene, Propane or Other Fuel)",Onsite Renewable (kWh),ENERGY STAR Score
BC Stayer Hall,2102473020,Multifamily Housing,110 St Thomas More Rd,104278,Multifamily Housing,6362884.3,0.371173535,0.59693053,,,,,,,63
BE Realty,304206000,Office,133 Federal St,127689,"Office, Restaurant",14898911.5,0.417492604,,0.546631141,,,,,,32
Beacon Hill House,302813000,Multifamily Housing,122 Bowdoin Street,56000,Multifamily Housing,5720574.4,0.119423008,0.870314666,,,,,,,46
Beacon Towers Condominium,503644000,Multifamily Housing,479-483 Beacon St,70000,Multifamily Housing,5646879.1,0.228807765,0.751530151,,,,,,,57
Beasley Media Boston,1302364021,Other - Entertainment/Public Assembly,55 Morrissey Blvd,42000,"Other - Entertainment/Public Assembly, Parking",5543635.2,0.84220646,0.085420484,,,,,,,
Bec Site Office,902478000,Other,2201 Washington St,14116,Other,0,,,,,,,,,
Beck Southend Trust,801136000,Other,49-59 Wareham St.,57072,Other,3253112.1,0.125546246,0.863665258,,,,,,,
BEETHOVEN,2003045000,K-12 School,5125 Washington St.,37452,K-12 School,2902762.1,0.133244166,0.855305745,,,,,,,59
Belgrade Place LLC,2005737000,Multifamily Housing,446 Belgrade Ave,43716,"Multifamily Housing, Parking",2483848.1,0.536778383,0.417094749,,,,,,,69
Bell Olmsted Park,1001631000,Multifamily Housing,161 South Huntington Ave,193000,"Multifamily Housing, Parking, Swimming Pool",9220961.1,0.28266735,0.69304228,,,,,,,96
"Belvedere Condo Trust, The",401037600,Multifamily Housing,100 Belvedere Street,165000,Multifamily Housing,5207010.3,0.868936514,0.056393436,,,,,,,87
Benjamin Healthcare Center,1001342000,Senior Care Community,120 Fisher Avenue,75399,"K-12 School, Parking, Senior Care Community",7463206.2,0.486974779,0.471178165,,,,,,,60
Beren Tennis Pavilion,2200533000,Other - Recreation,71 North Harvard Street,6117,Other - Recreation,1322516.8,0.920867519,,,,,,,,
Beryl Gardens,903082100,Multifamily Housing,103 Madison Park Court,43803,Multifamily Housing,1976459.9,0.220872854,0.760146968,,,,,,,98
BIDMC East && West Campus,0401862000 0401861000 0401944000 0401954000 0401964001 0401942000,Hospital (General Medical & Surgical),330 Brookline Ave.,2497517,"Hospital (General Medical & Surgical), Laboratory, Parking",815181940.5,0.243146207,0.003920403,0.460560523,,,,,,24
BIDMC Research North,2100067000,Laboratory,95 Brookline Ave,114681,Laboratory,24744330.6,0.597968768,0.35064618,,,,,,,
Bigelow Court Condominiums,2203171000,Multifamily Housing,142 Bigelow Street,43066,"Multifamily Housing, Parking",1825435.1,0.247356741,0.731387273,,,,,,,100
Biosquare - Phase I,801066100,Office,670 Albany Street,221299,"Medical Office, Office",25279951,0.918252771,0.001556914,0.001282415,,,,,,24
Bird Farm South LLC,304323000,Office,129 South Street,43031,"Office, Other - Restaurant/Bar",Not Available,,,,,,,,,
BLACKSTONE,900160000,K-12 School,380 Shawmut Ave.,194260,"K-12 School, Swimming Pool",17001043.6,0.272376585,0.704217375,,,,,,,37
Blackstone Square LP,900190000,Other,1511 - 1525 Washington Street,50290,Other,145545.8,0.920866792,,,,,,,,
Blake Estates I & II,1809255000,Multifamily Housing,1344 Hyde Park Avenue,132000,Multifamily Housing,8680405.4,0.263155874,0.714230432,,,,,,,68
Blodgett Pool,2200533000,Other - Recreation,55 North Harvard Street,46074,"Office, Other, Other - Recreation, Swimming Pool",Not Available,,,,,,,,,
Blue Elm Apartments: 172-176 Seaver Street,1202344000,Multifamily Housing,172-176 Seaver St,65350,Multifamily Housing,4218054.2,0.152592867,0.834294424,,,,,,,77
Blue Elm Apartments: 9 Hutchings St,1202282000,Multifamily Housing,9 Hutchings St,14860,Multifamily Housing,1160794.7,0.114168697,0.87602054,,,,,,,
Blue Elm Apartments-6 Wayne Street,1202410000,Multifamily Housing,6 Wayne Street,40782,Multifamily Housing,4450013.1,0.139655487,0.84834357,,,,,,,48
Blue Ledge Co-op: 15 Blue Ledge Drive,4426493,Multifamily Housing,15 Blue Ledge Drive,72186,Multifamily Housing,4581251.8,0.296319443,0.67821701,,,,,,,76
BMIRF Gatehouse LLC,202360000,Multifamily Housing,75 W School St.,117921,Multifamily Housing,1353417.2,0.44259153,0.519375253,,,,,,,100
BMR-Blackfan Circle LLC,401853022,Laboratory,3 Blackfan Circle,761369,"Laboratory, Parking, Restaurant",340324752.9,0.352866864,0.616810348,,,,,,,
Bold Colony LLC,700276001,Self-Storage Facility,39 Old Colony Avenue,67430,Self-Storage Facility,1685535.9,0.352612318,0.308507223,,,,,,,
Bornstein & Pearl,1300952000,Food Service,196 Quincy St,36000,Food Service,6255579.7,0.341170694,0.629511602,,,,,,,
BOS Office 3 LLC,304603000,Office,63 Franklin Street,34075,Office,2071045.6,0.577260532,0.373133938,,,,,,,
Boston Architectural College,503062000,Office,320 Newbury Street,49494,Office,6384429.3,0.35561756,0.182367874,0.431455416,,,,,,53
Boston Baptist College,1810945000,Adult Education,950 Metropolitan Ave,40425,Adult Education,3441992.2,0.149455566,0.837701288,,,,,,,
Boston Bowl,1602582000,Other - Entertainment/Public Assembly,820 William T. Morrissey Blvd,45096,"Other - Entertainment/Public Assembly, Parking",6023612.3,0.469890263,0.489730805,,,,,,,
BOSTON CAR CO INC,2202755000,Automobile Dealership,1600 SOLDIERS FIELD RD,41169,Automobile Dealership,3854495.6,0.511406345,0.444647154,,,,,,,
Boston Children's Hospital,401851000,Other - Specialty Hospital,300 Longwood Ave,2228153,"Other, Other - Specialty Hospital, Parking",849017607.7,0.367984619,,0.600393484,,,,,,
Boston Chinese Evangelical Church,306175000,Worship Facility,120 Shawmut Ave,36446,"Parking, Worship Facility",2391491,0.276623693,0.699605393,,,,,,,32
Boston College   (BERDO),2102473001,College/University,140 Commonwealth Ave,2738980,College/University,201580710.8,0.461884415,0.358469911,0.139954717,,,,,,
Boston College High School,1303401000,K-12 School,150 Morrissey Blvd,320000,K-12 School,30359559.2,0.22448852,0.737985,,,,,,162258,25
Boston Collegiate Charter School,702972010,College/University,11 Mayhew Street,40100,College/University,3013919.3,0.260109939,0.337501406,,,,,,,
Boston Common Hotel,401084010,Hotel,430 Stuart St.,84180,Hotel,6091180.7,0.448176781,0.00356696,0.509743242,,,,,,58
Boston Common Maitenance Shed,500812000,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",80 A Op Boylston St,100,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",Not Available,,,,,,,,,
Boston Common Ranger Station,500812000,Other - Recreation,148 TREMONT ST,862,Other - Recreation,163200,,1,,,,,,,
Boston Common Visitor Center,500812000,Other,Tremont St Vstr  /  West,1234,Other,157450,0.920868415,,,,,,,,
Boston Copley Square Courtyard,401057000,Hotel,88 Exeter st,40000,Hotel,9176165.4,0.315366128,0.657533647,,,,,,,2
Boston FGA/GHL Maintenance (040011),603422000,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",571 East First Street,40687,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",2501403.8,0.618827981,0.327994545,,,,,,,
Boston Flower Exchange,801055000,Non-Refrigerated Warehouse,540 Albany Street,73000,Non-Refrigerated Warehouse,2460266.7,0.310129035,0.66322078,,,,,,,
Boston location,2100473000,Urgent Care/Clinic/Other Outpatient,1055 Commonwealth Ave,42650,"Parking, Urgent Care/Clinic/Other Outpatient",5123813.2,0.420076677,0.543825017,,,,,,,
Boston MA YTL,602640080,Hotel,65 Seaport Blvd,99000,Hotel,8903998.7,0.662394462,0.280684217,,,,,,,69
Boston Medical Center,0801067020 0801243000 0801254000 0801299000 0801301000 0801420000 0801420020,Hospital (General Medical & Surgical),One Boston Medical Center Place,2185271,"Hospital (General Medical & Surgical), Parking",600634989.8,0.327178907,0.287553579,0.35715216,,,,,,17
BOSTON OPERA HOUSE,304830000,Performing Arts,539 WASHINGTON STREET,118781,Performing Arts,9106118,0.561798503,0.389924653,,,,,,,
BOSTON PAPER BOARD CORP,202127000,Manufacturing/Industrial Plant,40 ROLAND STREET,62920,Manufacturing/Industrial Plant,4078358.1,0.076642506,0.719003415,,,,,,,
Boston Park Plaza,500810004,Hotel,50 Park Plaza,856650,Hotel,115001146.3,0.319980233,0.652523016,,,,,,,30
BOSTON SOUTH BAY (1898),703501010,Retail Store,7 ALLSTATE RD,147225,"Parking, Retail Store",10090467.7,0.678779046,0.26289167,,,,,,,75
"Boston Symphony Orchestra, Cohen Wing",401483000,Office,255 Huntington Ave,30360,Office,Not Available,,,,,,,,,
"Boston Symphony Orchestra, HALP",401483000,Office,265 Huntington Avenue,20000,Office,Not Available,,,,,,,,,
"Boston Symphony Orchestra, North Building",401483000,Office,2-6 Westland Avenue,4000,"Office, Parking",Not Available,,,,,,,,,
"Bostonian Realty, LLC: 1713 Commonwealth Avenue",2102629000,Multifamily Housing,1713 Commonwealth Avenue,14640,Multifamily Housing,873103.2,0.024129003,0.973797485,,,,,,,
"Bostonian Realty, LLC: 1715 Commonwealth Avenue",2102629000,Multifamily Housing,1715 Commonwealth Avenue,14640,Multifamily Housing,834276.8,0.025851512,0.971927063,,,,,,,
"Bostonian Realty, LLC: 3 Lothian Road",2102524000,Multifamily Housing,3 Lothian Road,15068,Multifamily Housing,1319492.9,0.016453501,0.982132681,,,,,,,
"Bostonian Realty, LLC: 5 Lothian Road",2102524000,Multifamily Housing,5 Lothian Road,15068,Multifamily Housing,1324028.1,0.019551416,0.978768577,,,,,,,
BostonView Apartments,02811-000,Multifamily Housing,130-140 Bowdoin St,209103,"Multifamily Housing, Parking",1282400.3,0.920867455,,,,,,,,100
Bowdoin  Place Condominium,302726010,Multifamily Housing,10 Bowdoin Street,112888,Multifamily Housing,409583.3,0.920867535,,,,,,,,100
